"","Country","Happiness","GDP","SocialSupport","Health","Freedom","Generosity","Corruption","PositiveAffect","NegativeAffect","ConfidenceInGovernment","Region"
"68","Kenya",4.47565412521362,8.00404071807861,0.714604318141937,59.5,0.853394389152527,0.249233558773994,0.854000389575958,0.788452208042145,0.230210304260254,0.63786256313324,"Sub-Saharan Africa"
"69","Kosovo",6.14919996261597,9.18971252441406,0.792087256908417,64.8792953491211,0.85767674446106,0.111966609954834,0.925191819667816,0.738435566425323,0.185879096388817,0.298196136951447,"Central and Eastern Europe"
"70","Kuwait",6.09390544891357,11.0902719497681,0.853491306304932,66.5,0.884181618690491,-0.0390139408409595,NA,0.692071914672852,0.307320803403854,NA,"Middle East and Northern Africa"
"71","Kyrgyzstan",5.62953662872314,8.12960910797119,0.882586658000946,63.7999992370605,0.859389781951904,0.164255797863007,0.87449449300766,0.755125224590302,0.160438314080238,0.561672747135162,"Central and Eastern Europe"
"72","Laos",4.62314081192017,8.76364040374756,0.707335770130157,58.2999992370605,0.891000747680664,0.0730663239955902,0.591616809368134,0.872791767120361,0.344225883483887,0.839935004711151,"Southeastern Asia"
"73","Latvia",5.97781753540039,10.1291818618774,0.895098745822906,66.5,0.699520111083984,-0.158590495586395,0.798378109931946,0.623312771320343,0.23175311088562,0.264000505208969,"Central and Eastern Europe"
"74","Lebanon",5.15398979187012,9.50058650970459,0.776583015918732,66.5999984741211,0.604554176330566,-0.072667308151722,0.910727262496948,0.515443921089172,0.243549212813377,0.217718094587326,"Middle East and Northern Africa"
"75","Lesotho",3.79530072212219,7.95547866821289,0.768551647663116,47.2999992370605,0.756505191326141,-0.153132945299149,0.796859443187714,0.746201753616333,0.255303084850311,0.69529914855957,"Sub-Saharan Africa"
"76","Liberia",4.4244909286499,6.62378358840942,0.684866845607758,55.2999992370605,0.733389914035797,0.0354487560689449,0.866806387901306,0.667946457862854,0.391330540180206,0.554991543292999,"Sub-Saharan Africa"
"77","Libya",5.64685249328613,9.79152202606201,0.822758793830872,62.2999992370605,0.77869588136673,-0.0530385933816433,0.673065543174744,0.69704931974411,0.379374176263809,NA,"Middle East and Northern Africa"
"78","Lithuania",6.27294063568115,10.2929677963257,0.926316618919373,66.6999969482422,0.749307334423065,-0.177641674876213,0.789709866046906,0.607613146305084,0.195118829607964,0.321247279644012,"Central and Eastern Europe"
"79","Luxembourg",7.0613808631897,11.4540023803711,0.905435502529144,72.5999984741211,0.902821719646454,0.0395547822117805,0.330173581838608,0.765816867351532,0.184467002749443,0.73892205953598,"Western Europe"
"80","Macedonia",5.23386669158936,9.48122310638428,0.799955129623413,67.3000030517578,0.752106606960297,-0.0579917728900909,0.855697274208069,0.50245988368988,0.299390584230423,0.442916452884674,"Central and Eastern Europe"
"81","Madagascar",4.07862043380737,7.25590133666992,0.626331984996796,58.7000007629395,0.570347905158997,-0.0296923574060202,0.847260773181915,0.751698076725006,0.374838024377823,0.541916131973267,"Sub-Saharan Africa"
"82","Malawi",3.41686296463013,6.99854803085327,0.555422723293304,56.9000015258789,0.847920775413513,0.0174410622566938,0.734636604785919,0.6086665391922,0.312088340520859,0.620332539081573,"Sub-Saharan Africa"
"83","Mali",4.74185037612915,7.60802984237671,0.741359412670135,51.2000007629395,0.753213346004486,-0.0671203285455704,0.862655162811279,0.74183577299118,0.392784148454666,0.504820108413696,"Sub-Saharan Africa"
"84","Malta",6.67566585540771,10.5054321289062,0.937331795692444,72.1999969482422,0.923642933368683,0.247621223330498,0.690494537353516,0.720753371715546,0.302443116903305,0.752005159854889,"Western Europe"
"85","Mauritania",4.67815971374512,8.18803119659424,0.77922523021698,56.7000007629395,0.527446806430817,-0.135666266083717,0.777314066886902,0.637107074260712,0.272321939468384,0.292109727859497,"Sub-Saharan Africa"
"86","Mauritius",6.17411756515503,9.91801834106445,0.910142242908478,66.0999984741211,0.912307500839233,0.0779785960912704,0.818179905414581,0.74776017665863,0.168721184134483,0.614670753479004,"Sub-Saharan Africa"
"87","Mexico",6.41029930114746,9.7605676651001,0.799839377403259,68,0.86140513420105,-0.204242065548897,0.800893068313599,0.842642307281494,0.230990886688232,0.256953150033951,"Latin America and Caribbean"
"88","Moldova",5.32553052902222,8.55448341369629,0.830767929553986,64.3000030517578,0.552825212478638,-0.00362958200275898,0.926333785057068,0.581488788127899,0.25947779417038,0.132729634642601,"Central and Eastern Europe"
"89","Mongolia",5.33385038375854,9.37931060791016,0.924250781536102,62.0999984741211,0.674627423286438,0.104439713060856,0.864952206611633,0.675165295600891,0.213599517941475,0.2750583589077,"Eastern Asia"
"90","Montenegro",5.6147985458374,9.70560264587402,0.881199836730957,68.3000030517578,0.62590628862381,-0.0820779651403427,0.755680024623871,0.519128143787384,0.349785089492798,0.35154989361763,"Central and Eastern Europe"
"91","Morocco",5.3124828338623,8.92065811157227,0.641193091869354,65.5999984741211,0.81425803899765,-0.227033942937851,0.840502440929413,0.559288203716278,0.322715908288956,NA,"Middle East and Northern Africa"
"92","Mozambique",4.27986335754395,7.03535890579224,0.678463697433472,53.2000007629395,0.822670519351959,-0.0249641239643097,0.682108938694,0.648381412029266,0.35317650437355,0.759234368801117,"Sub-Saharan Africa"
"93","Myanmar",4.15434169769287,8.62901973724365,0.795183837413788,58.7000007629395,0.886011838912964,0.629576742649078,0.618821501731873,0.745647490024567,0.282285541296005,0.824176549911499,"Southeastern Asia"
"94","Namibia",4.44130611419678,9.16343879699707,0.828339040279388,56.2000007629395,0.810401856899261,-0.1966253221035,0.831302881240845,0.720678210258484,0.277252167463303,0.7458536028862,"Sub-Saharan Africa"
